3600	42	1300
3600	41	1300
3600	44	1300
3600	43	1300
7200	46	28
3600	45	838
7200	49	1300
7200	47	1300
7200	51	1300
7200	48	1300
7200	50	1300
7200	52	1300
7200	53	1300
10800	55	28
7200	54	57
10800	56	1300
10800	57	1300
10800	58	1300
10800	59	1300
14400	62	28
10800	60	1300
10800	61	536
14400	63	1300
14400	65	1300
14400	64	1300
14400	67	1300
14400	66	1300
18000	70	1300
14400	68	277
18000	69	28
18000	71	1300
18000	73	1300
21600	75	28
18000	72	1300
18000	74	1156
21600	76	1300
21600	78	1300
21600	77	1300
28800	90	1300
21600	79	1300
28800	89	28
28800	91	1300
28800	93	1300
28800	92	1300
28800	94	1300
28800	96	1133
28800	95	1300
32400	97	28
32400	99	1300
32400	98	1300
32400	100	1300
32400	102	1300
32400	101	1300
32400	103	1300
32400	105	98
32400	104	1300
36000	106	28
36000	108	1300
36000	107	1300
36000	109	1300
36000	111	1300
36000	110	1300
36000	112	1300
39600	114	28
36000	113	1160
39600	115	1300
39600	117	1300
39600	118	1300
39600	116	1300
39600	120	1300
39600	119	1300
43200	122	28
39600	121	1291
43200	123	1300
43200	125	1300
43200	124	1300
43200	126	1300
43200	128	1300
43200	127	1300
46800	130	28
46800	131	1300
43200	129	1205
46800	133	1300
46800	132	1300
46800	135	1300
46800	134	1300
46800	136	1300
50400	138	28
46800	137	945
50400	140	1300
50400	139	1300
50400	142	1300
50400	141	1300
50400	144	1300
50400	143	1300
50400	145	1075
54000	147	1300
54000	146	28
54000	148	1300
54000	150	1300
54000	149	1300
54000	151	1300
54000	153	833
54000	152	1300
57600	154	28
57600	156	1300
57600	155	1300
57600	157	1300
57600	159	1300
57600	158	1300
57600	160	1300
61200	162	28
57600	161	733
61200	163	1300
61200	165	1300
61200	164	1300
61200	166	1300
61200	168	1300
61200	167	1300
61200	169	711
64800	171	1300
64800	170	28
64800	172	1300
64800	174	1300
64800	173	1300
64800	175	1300
64800	177	668
64800	176	1300
68400	178	28
68400	180	1300
68400	179	1300
68400	181	1300
68400	183	1300
68400	182	1300
68400	184	1300
72000	186	28
68400	185	1159
72000	187	1300
72000	189	1300
72000	188	1300
72000	190	1300
72000	192	1300
72000	191	1300
72000	193	871
75600	195	1300
75600	194	28
75600	196	1300
75600	198	1300
75600	197	1300
75600	199	1300
75600	201	1055
75600	200	1300
79200	202	28
79200	204	1300
79200	203	1300
79200	205	1300
79200	207	1300
79200	206	1300
79200	208	1300
79200	209	1064
82800	211	1300
82800	210	28
82800	213	1300
82800	212	1300
82800	215	1300
82800	214	1300
82800	216	1300
86400	218	28
82800	217	984
86400	219	1300
86400	221	1300
86400	220	1300
86400	222	1300
86400	224	1300
86400	223	1300
86400	225	746
90000	226	28
90000	228	1300
90000	227	1300
90000	229	1300
90000	231	1300
90000	230	1300
90000	232	1300
90000	233	803
93600	234	28
93600	235	1300
93600	236	1300
93600	237	1300
93600	238	1300
93600	239	1300
93600	240	1300
93600	241	662
97200	242	28
97200	243	1300
97200	245	1300
97200	244	1300
97200	246	1300
97200	247	1300
97200	249	529
97200	248	1300
